Date,Ticker,Open,High,Low,Close,Volume
2015-01-01,Nepse Index,904,904,904,904,0
2015-01-01,Banking SubIndex,800.75,800.75,800.75,800.75,0
2015-01-01,Development Bank Index,688.05,688.05,688.05,688.05,0
2015-01-01,Finance Index,473.17,473.17,473.17,473.17,0
2015-01-01,Hotels And Tourism,2003.51,2003.51,2003.51,2003.51,0
2015-01-01,HydroPower Index,2221.89,2221.89,2221.89,2221.89,0
2015-01-01,Others Index,709.61,709.61,709.61,709.61,0
2015-01-01,Trading Index,184.32,184.32,184.32,184.32,0
2015-01-04,Others Index,708.43,708.43,708.43,708.43,0
2015-01-04,Hotels And Tourism,2003.07,2003.07,2003.07,2003.07,0
2015-01-04,Finance Index,476.89,476.89,476.89,476.89,0
2015-01-04,HydroPower Index,2245.25,2245.25,2245.25,2245.25,0
2015-01-04,Banking SubIndex,814.22,814.22,814.22,814.22,0
2015-01-04,Nepse Index,918,918,918,918,0
2015-01-04,Development Bank Index,699.5,699.5,699.5,699.5,0
2015-01-05,Nepse Index,920,920,920,920,0
2015-01-05,Banking SubIndex,816.57,816.57,816.57,816.57,0
2015-01-05,Development Bank Index,702.84,702.84,702.84,702.84,0
2015-01-05,Finance Index,476.19,476.19,476.19,476.19,0
2015-01-05,Hotels And Tourism,2021.62,2021.62,2021.62,2021.62,0
2015-01-05,HydroPower Index,2254.83,2254.83,2254.83,2254.83,0
2015-01-05,Manufacturing And Processing,1249.98,1249.98,1249.98,1249.98,0
2015-01-05,Others Index,707.26,707.26,707.26,707.26,0
2015-01-05,Trading Index,185.08,185.08,185.08,185.08,0
2015-01-06,Manufacturing And Processing,1259.29,1259.29,1259.29,1259.29,0
2015-01-06,Others Index,708.43,708.43,708.43,708.43,0
2015-01-06,Hotels And Tourism,2024.12,2024.12,2024.12,2024.12,0
2015-01-06,HydroPower Index,2246.48,2246.48,2246.48,2246.48,0
2015-01-06,Development Bank Index,705.14,705.14,705.14,705.14,0
2015-01-06,Banking SubIndex,810.97,810.97,810.97,810.97,0
2015-01-06,Nepse Index,917,917,917,917,0
2015-01-06,Finance Index,476.12,476.12,476.12,476.12,0
2015-01-07,Nepse Index,925,925,925,925,0
2015-01-07,Banking SubIndex,814.45,814.45,814.45,814.45,0
2015-01-07,Development Bank Index,713.61,713.61,713.61,713.61,0
2015-01-07,Finance Index,478.12,478.12,478.12,478.12,0
2015-01-07,Hotels And Tourism,2044.47,2044.47,2044.47,2044.47,0
2015-01-07,HydroPower Index,2282.85,2282.85,2282.85,2282.85,0
2015-01-07,Manufacturing And Processing,1269.54,1269.54,1269.54,1269.54,0
2015-01-07,Others Index,716.65,716.65,716.65,716.65,0
2015-01-08,Others Index,719,719,719,719,0
2015-01-08,Manufacturing And Processing,1280.94,1280.94,1280.94,1280.94,0
2015-01-08,HydroPower Index,2294.94,2294.94,2294.94,2294.94,0
2015-01-08,Hotels And Tourism,2077.8,2077.8,2077.8,2077.8,0
2015-01-08,Finance Index,480.83,480.83,480.83,480.83,0
2015-01-08,Banking SubIndex,819.83,819.83,819.83,819.83,0
2015-01-08,Nepse Index,931,931,931,931,0
2015-01-08,Development Bank Index,721.08,721.08,721.08,721.08,0
2015-01-11,Nepse Index,928,928,928,928,0
2015-01-11,Banking SubIndex,814.16,814.16,814.16,814.16,0
2015-01-11,Development Bank Index,721.43,721.43,721.43,721.43,0
2015-01-11,Finance Index,479.12,479.12,479.12,479.12,0
2015-01-11,Hotels And Tourism,2092.5,2092.5,2092.5,2092.5,0
2015-01-11,HydroPower Index,2298.4,2298.4,2298.4,2298.4,0
